ttrcheck_description,ttcheck_remark_service,ttcheck_device_service,ttcheck_brand_service,ttcheck_series_service
"Engsel kiri patah, berisiko putus kabel fleksibel, perlu ganti engsel","Kalau dibuka, layar jadi bergaris",NB,Dell,Inspiron 15
"Engsel terlalu kencang, disetel ulang agar tidak merusak casing",Buka layar berat sekali sejak awal,NB,MSI,Modern 14
"VGA card tidak mengeluarkan sinyal (fan mati), indikasi VGA rusak",PC nyala tapi tidak ada tampilan,PC,Acer,Aspire TC
"Spacebar tetap tidak respon walau sudah dibersihin. Konek ke Wi-Fi kadang lama/gagal, laptop bisa hang kalau bagian bawah kepencet., ""Cek hardware keyboard, modul Wi-Fi","dan kondisi bawah (pressure).""",NB,MSI,Modern 14 B11
Beberapa part gosong,Dummy Data,NB,Dell,Latitude
"CPU cooler desktop kendor, re-seat cooler dan suhu stabil",PC panas tinggi dan sering restart saat render,PC,Dell,Precision Tower 3620
baterai drop,kondisi baterai lemah dan sering mati mendadak,NB,HP,PAVILION
"Kabel power internal longgar, setelah rapikan konektor normal",PC sering restart sendiri tanpa sebab,PC,HP,ProDesk 400 G5
Selesai install antivirus type Lenovo ideapad,install antivirus,NB,Lenovo,Ideapad
Dilakukan pergantian pasta dan cleaning. Unit masih lemot. Jadi user minta dilakukan pergantian RAM dan Upgrade hdd ke SSD. Hdd user 1tb dan ramnya 4gb. Windows 10,mulai lambat,NB,Lenovo,Lenovo ideapad 320
Dilakukan pengecekan di bagian catridge terdapat tinta yg mengering di bagian nozel head nya Dilakukan clening +flushing nozel head  Printer sudah normal kembali,Print tidak rata,PT,HP,Deskjet 5810 series
Hasil print sebelumnya tidak keluar Setelah dilakukan klining hasil print normal,Print tidak keluar hasil,PT,Epson,L110
Dilakukan reset software page counter Dan clening head,Tanda tinta dan Kertas indokator menyala,PC,EPSON,L3110
Psu rusak,Dummy Data,PC,Hp,Probook
"Backlight LCD lemah/putus, tampilan redup (terlihat pakai senter)",Layar gelap tapi mesin menyala,NB,Lenovo,ThinkPad T14
"IC backlight pada mainboard bermasalah, arus ke backlight tidak stabil",Layar sering redup-terang sendiri,NB,HP,Pavilion 15
baterai cepat habis,persen baterai turun drastis dalam hitungan menit,NB,SAMSUNG,GALAXY_BOOK
Dummy,Tidak bisa hidup,NB,Dell,Inspiron 3000
sudah selesai di cleaning dan repasta,Cleaning dan repasta,NB,Hp,Victus 15
"Monitor panel backlight mati, perlu ganti LED/backlight strip",Monitor gelap tapi ada bayangan gambar,PC,Lenovo,ThinkCentre M70s
"Laptop menyala tapi keyboard rusak. perlu ganti keyboard, "" mati total, beberapa keyboard tidak bisa digunakan","tombol power tidak merespon. Namun untuk charging masih masuk dan merespon.""",NB,Notebook LENOVO,THINKPAD
"Asus rog strix mati total, kadang bisa nyala tiba"" mati Dicek unit nyala, keyboard'y ada beberapa hurup tidak bisa dan ga bisa di shutdown",kadang mati total. kadang nyala tapi tiba tiba mati,NB,asus,rog strix
baterai rusak sisa sekitar 37% dari normal,laptop cepat habis dan mudah shutdown,NB,FUJITSU,Lifebook U749
"Kipas berisik karena bearing aus, rekomendasi ganti fan",Kipas bunyi kasar dan panas naik,NB,Dell,Inspiron 15
Kabel fleksibel putus,Dummy Data,NB,Asus,ROG
"GPU artefak saat panas, indikasi IC grafis bermasalah",Muncul kotak-kotak warna saat dipakai lama,NB,ASUS,TUF Gaming F15
"LCD menampilkan garis vertikal permanen, indikasi panel rusak",Muncul garis-garis vertikal sejak kemarin,NB,Dell,Inspiron 14
" Setting jaringan/proxy salah, reset network & proxy normal",Tidak bisa internet padahal WiFi/LAN tersambung,PC,Dell,Precision Tower 3620
PC hidup tapi tidak muncul display,indikator power on namun monitor tidak menampilkan gambar,PC,Lenovo,ThinkCentre
"Port DisplayPort longgar, perlu perbaikan port",Kalau kabel DP digerakkan gambar hilang,PC,Lenovo,ThinkCentre M720
"CMOS battery habis, reset jam/setting BIOS, ganti baterai CMOS","Tanggal dan jam selalu balik lagi, kadang gagal boot",PC,Acer,Veriton X
baterai error kapasitas tinggal 47%,persentase turun drastis dalam beberapa menit,NB,DELL,Latitude 5410
kondisi baterai lemah tinggal sekitar 33%,cepat habis walau pemakaian ringan,NB,LENOVO,IdeaPad Slim 3
"Laptop menyala tapi keyboard rusak, ""Sebelum mati total, beberapa keyboard tidak bisa digunakan (7, 8, U, I","H dan B) setelah kondisi tersebut esoknya laptop  tidak bisa menyala sama sekali dan tombol power tidak merespon. Namun untuk charging masih masuk dan merespon.""",NB,Notebook asus,A416E
"Layout setting berubah, dikembalikan ke layout Indonesia/US sesuai kebutuhan","Huruf yang keluar tidak sesuai, jadi simbol terus",NB,MSI,Modern 14
"Dilakukan buang daya, cleaning unit kembali nyala",pc tidak mau nyala,PC,Futura,N1000
engsel kiri retak casing renggang,engsel kiri retak menyebabkan casing atas dan bawah renggang,NB,MSI,Modern 14
"Partisi recovery/EFI bermasalah, disusun ulang partisi & reinstall",Setelah update Windows gagal masuk OS,NB,HP,Pavilion 14
"Akun Windows profile corrupt, dibuat profile baru dan migrasi data","Setelah login, desktop kosong dan setting hilang",NB,HP,Pavilion 14
"Mainboard VGA onboard rusak, solusi pasang VGA card eksternal",Tidak ada display dari port VGA onboard,PC,Lenovo,ThinkCentre M93p
baterai melemah (kapasitas kurang lebih 29%),indikator cepat turun walau baru full,NB,TOSHIBA,Dynabook
baterai sudah soak (tersisa kira-kira 28%),pemakaian sebentar langsung lowbat,NB,ACER,Aspire 5
"Baterai health 32% (cycle tinggi), rekomendasi ganti baterai","Baterai cepat habis, baru dicabut sebentar langsung mati",NB,Lenovo,IdeaPad 3
"SSD overheating (throttling), ditambah thermal pad dan airflow",Copy file besar selalu berhenti sendiri,NB,ASUS,TUF A15
"Aplikasi sering crash karena runtime hilang, install ulang VC++/NET",Aplikasi kasir sering close sendiri,NB,Acer,Aspire 5
"Unit user sering terjadi freeze tiba tiba saat tidak di gunakan dan Heatsink mengeluarkan bunyi., ""Laptop ngehang saat di charger","sebelumnya sudah pernah di servis. Masalah kambuh setelah setahun""",NB,Lenovo,Legion Y7000
SSD SATA diganti sesuai request,instal OS dari awal + konfigurasi keamanan/antivirus,NB,SAMSUNG,GALAXY BOOK2
Engsel patah,Dummy Data,NB,Xiaomi,Mi Book
"Monitor backlight mati, perlu servis monitor",Monitor gelap tapi ada bayangan gambar,PC,Dell,OptiPlex 7050
Tes,Dummy Data,NB,Asus,ROG
Done,Gambar tidak muncul di layar,PC,Dell,Vostro 3471
"Aplikasi auto-start terlalu banyak, dilakukan tuning dan update",PC lambat padahal spek bagus,PC,ASUS,Vivo AIO
"Printer mengalami paperjam di bagian mekanik dalam, ada sisa kertas tertinggal menimbulkan error jam in tray satu",Paper jam. (Sptnya potongan kecil tp gabs diambil),PT,Brother,HL-T4000DW
"Windows system corrupt (SFC/DISM gagal), rekomendasi reinstall OS",Laptop sering blue screen dan restart sendiri,NB,Acer,Swift 3
"PSU drop, VGA tidak dapat power stabil; setelah ganti PSU normal","Kadang tampil, kadang mati sendiri saat boot",PC,ASUS,ROG Strix G10
"Keyboard desktop kotor, dilakukan pembersihan, beberapa switch disarankan ganti",Tombol sering dobel input,PC,Dell,OptiPlex 5080
"Kabel fleksibel (LVDS/eDP) longgar/aus, tampilan kadang muncul kadang hilang",Layar suka kedip-kedip kalau digerakkan,NB,Acer,Aspire 5
"Setting BIOS USB legacy off, diaktifkan kembali",Keyboard tidak bisa dipakai saat di BIOS,PC,Acer,Veriton X
"Refresh rate tidak sesuai monitor, diset ulang ke 60Hz","Setelah ubah refresh rate, layar jadi blank",PC,HP,ProDesk 600 G4
PC mati total tidak dapat dinyalakan,indikator tidak menyala dan unit tidak power up,PC,Dell,Precision
PC mati total tidak dapat dinyalakan,indikator tidak menyala dan unit tidak power up,PC,Dell,Precision
Hp deskjet 5810 Hasil print black bergaris putu² -dilakukan pengecekan di bagian catridge black terdapat offer ink (bleber)  dan ada mampet sebagian -dilakukan pembersihan dan flush black ink (kuras tinta) Hasil print sudah normal.,Tinta hitam tidak keluar ketika mencetak,PT,HP,Deskjet GT 5810
"Banyak adware/toolbar, dilakukan malware cleanup dan reset browser",Browser kebuka iklan terus dan lemot,NB,HP,14s
HP 240 G8 SN:5CG311729Q,install antivirus,NB,HP,HP 14s
kesehatan baterai menurun (sisa �42%),daya drop dan tidak tahan lama,NB,ASUS,VivoBook 14
Dummy,Dummy Data,NB,Hp,Pavilion
"kabel lcd putus, perlu ganti kabel lcd",layar tidak muncul apa apa,NB,Dell,Dell
"Thermal paste CPU mengering, repaste dan normal",Suhu CPU 90C saat idle,PC,Lenovo,ThinkCentre M910
Dummy,Dummy Data,NB,Lenovo,Thinkpad
"penggantian SSD SATA berhasil, transfer data pengguna; instal driver, OS",dan antivirus,NB,LENOVO,THINKBOOK 14
Setelah beberapa kali di lakukan cleaning Dan pembersihan print head Hasil tetap sama Solusi: replace cartridge black,Tinta hitam putus-putus,PT,Canon,G1010
"Sudah dilakukan pengecekan pada driver dan hardware, kerusakan pada hardware keyboard dan juga dilakukan  cleaning dan pergantian pasta, ""Keyboard bermasalah setelah lama sudah tidak dipakai","ada yang tidak bisa  di tekan""",NB,Acer,Aspire 3
"SSD terdeteksi bad block meningkat, disarankan cloning & ganti SSD",Laptop sering hang dan loading lama,NB,Dell,Inspiron 15
"Kipas CPU lemah (RPM rendah), rekomendasi ganti fan",Laptop cepat panas walau baru buka browser,NB,ASUS,VivoBook 14
Dilakukan pengecekan di erea sensor endcoder setrip dan endcoder disk terdapat kotoran menempel Dilakukan cleaning endcoder setrip dan disk + rebuild pcb head Dan printer sudah bisa normal kembali,printer rusak,PT,Brothers,hl-T4000DW
Epson L14150 -printer online/ready tapi tidak mau print,Kertas tidak keluar tetapi printer online dan ready,PT,EPSON,L14150
Dummy data,Dummy Data,NB,Xiaomi,Mi Book
Keyboard rusak,Dummy Data,NB,Lenovo,Thinkpad
unit tidak bisa power on,tidak ada respon saat tombol power ditekan,PC,ASUS,ExpertCenter
baterai bermasalah,daya cepat habis dan tidak tahan lama,NB,ASUS,VIVOBOOK
Laptop sudah nyalah kembali,Pengecekan mesin dan repasta. Laptop hidup namun layar tidak hidup. Sering mengalami reboot,NB,Lenovo,Ideapad Gaming 3
"Sudah dilakukan buang daya unit berkedip 3 kali pada tombol power tidak ada tampilan, dilakukan juga pembersihan pada ram masih tetap berkedip 3 kali",dilakukan cabut kabel cmos unit lampu tombol power menyala normal tetapi tidak ada tampilan. Kesimpulan unit mengalami kerusakan pada motherboard.,NB,Lenovo,Thinkpad T460
"Driver HID/keyboard error setelah update, reinstall driver berhasil",Keyboard tidak berfungsi setelah update Windows,NB,Lenovo,IdeaPad 5
Unit mati total,unit dibongkar di cleaning ganti pasta n bersihin ram,NB,Lenovo,Thinkpad
Dummy,Dummy Data,NB,Dummy,Dummy
Sudah Oke,Hasil cetak kotor di bagian kiri kertas,PT,HP,Laser Jet Pro M203d
"Power button front panel short, perlu ganti switch/panel",PC nyala sendiri walau tidak dipencet,PC,Dell,OptiPlex 5070
"Engsel unit 2-in-1 aus (flip), rekomendasi penggantian engsel",Mode tablet longgar dan berbunyi,NB,Lenovo,Yoga Slim 7
"Sudah dilakukan pengecekan, jarum di kabel vga masih aman tidak ada penyok. Coba tuker pake kabel vga backup ttp layar bergaris, dicoba tuker monitor ke pc sebelah ttp bergaris. Jadi kerusakan pada monitornya, ""Layar monitor bergaris pada bagian bawah","padahal tidak jatuh dan tidak kepentok""",PC,HP,123456
PSU drop,kipas nyala sebentar lalu PC langsung mati kembali,PC,PC RAKITAN,PC Rakitan
unit menyala tetapi layar blank,tombol power berfungsi namun tidak ada tampilan,PC,HP,EliteDesk
"Dilakukan pembersihan pada wifi card saat dinyalakan unit tidak bisa masuk windows, info sebelumnya dari user memang agak lemot, kerusakan untuk wifi tidak bisa dicoba dan kemungkinan ada kerusakan pada ssd karena tidak bisa masuk windows.",wifi eror,NB,Lenovo,Thinkpad T460s
"Setelah dilakukan pengecekan, terdapat kerusakan pada mika sensor roller dan hasil print putus pada warna hitam dan magenta. Setelah di lakukan perekatan kembali pada mika, dan power cleaning, printer sudah kembali normal., ""Printer rusak","saat cetak tulisannya patah patah""",PT,Epson,L3210
"GPU overheating, thermal paste kering; setelah servis suhu normal",Main game sebentar langsung artefak lalu blank,PC,ASUS,ROG G15DK
"Keyboard tombol spasi nggak berfungsi walau sudah dibersihkan. Konek Wi-Fi sering susah, kadang hang kalau bagian bawahnya kepencet.","Periksa spacebar, driver keyboard, modul Wi-Fi, dan kondisi fisik bawah laptop.",NB,Dell,Latitude 5400
"Sticky keys/Filter keys aktif, dinonaktifkan dan normal",Keyboard terasa delay dan bunyi bip,NB,ASUS,ZenBook 14
engsel macet sulit dilipat,engsel macet dan layar sulit dilipat seperti biasanya,NB,HP,Pavilion 14
"kabel ada yang copot, sudah dipasang kembali, sudah ada tampilan saat dinyalakan",power menyala tetapi display tetap hitam,NB,Asus,ROG
Pin adaptor longgar,Tidak bisa charging,NB,Lenovo,L13
"Windows activation/service error, dilakukan perbaikan service dan aktivasi sesuai lisensi",Muncul watermark Activate Windows,PC,Dell,OptiPlex 7060
"VGA card tidak terdeteksi (fan mati), indikasi VGA rusak",PC nyala tapi tidak ada tampilan sama sekali,PC,Lenovo,ThinkCentre M720
"Driver audio/service konflik, reinstall driver audio berhasil",Suara hilang setelah update,PC,HP,ProDesk 600 G4
baterai drop (health tersisa �41%),pemakaian sebentar langsung habis,NB,CHUWI,HeroBook
"HDD bunyi klik (SMART warning), rekomendasi ganti HDD/upgrade SSD",File sering corrupt dan lemot sekali,NB,HP,15s
baterai rusak kapasitas tinggal sekitar 35%,baterai cepat habis meski baru dicas,NB,HP,Pavilion 14
"Driver VGA konflik, bersihkan dengan DDU & install driver sesuai","Setelah install driver, layar jadi hitam",PC,HP,EliteDesk 800 G3
power supply bermasalah,tegangan tidak stabil sehingga PC sering hang/freeze,PC,PC RAKITAN,PC Rakitan
"Backlight keyboard tidak menyala (kabel backlight putus), perlu ganti keyboard",Lampu keyboard tidak bisa nyala sama sekali,NB,Dell,Latitude 5420
PSU tidak normal,tercium bau gosong dan PC gagal boot,PC,PC RAKITAN,PC Rakitan
"Setelah dilakukan pengecekan cleaning kerusakan terjadi pada motherboard dikarenakan koslet . Dan harus dilakukan pergantian mobo, ""Laptop Mati Total","dicas tidak respon""",NB,Asus,TUF A15 FX506IV
"Heatsink berdebu + thermal paste kering, setelah cleaning suhu turun","Laptop panas sekali, kipas kencang, performa turun",NB,Lenovo,Yoga Slim 7
"Driver grafis corrupt, setelah reinstall driver tampilan normal",Resolusi aneh dan layar berkedip setelah update,NB,Lenovo,IdeaPad 3
"Thermal paste kering, repaste dan normal",Laptop panas dan throttling saat meeting video,NB,HP,Pavilion 15
engsel longgar layar goyang,engsel longgar membuat layar bergoyang dan tidak stabil,NB,LENOVO,IdeaPad 3
"LCD konektor berkarat/oksidasi (bekas cairan), tampilan noisy",Layar bersemut setelah ketumpahan minum,NB,MSI,Modern 14
"Dibersihin dan sudah update, tapi tuts spasi tetap nggak bisa. Laptop susah konek ke Wi-Fi, kadang nge-hang kalau bagian bawah laptop keteken. NB: keluhan keyboard spasi., ""Cek keyboard (spacebar), cek koneksi Wi-Fi","cek indikasi hang saat casing bawah tertekan.""",NB,HP,EliteBook 840 G5
"Driver grafis konflik, setelah reinstall driver tampilan normal",Resolusi berubah sendiri dan layar berkedip,NB,Lenovo,ThinkPad T480
"Kabel fleksibel eDP aus, layar flicker saat digerakkan, perlu ganti fleksibel",Layar kedip-kedip kalau posisi tertentu,NB,ASUS,ZenBook 13
"Panel LCD pecah (retak internal), perlu ganti LCD",Layar bergaris dan pecah setelah terjatuh,NB,ASUS,VivoBook 14
"IC eDP/LVDS retimer bermasalah, tampilan blank tapi eksternal normal","Layar laptop blank, tapi kalau pakai HDMI ke TV tampil",NB,Acer,TravelMate P2
"Port HDMI motherboard longgar, perlu re-solder/replace port","Kalau kabel digoyang, gambar hilang",PC,HP,ProDesk 400 G6
Battery rusak,Dummy Data,NB,LENOVO,IDEAPAD
upgrade SSD SATA tuntas,setting partisi + instal OS fresh + update dan pasang antivirus,NB,DELL,LATITUDE 5420
ganti SSD SATA selesai,copy data manual + setup OS + instal antivirus dan update,NB,HUAWEI,MATEBOOK D15
"Kabel HDMI/VGA eksternal rusak, setelah ganti kabel tampilan normal","Monitor kadang no signal, kadang muncul",PC,Dell,OptiPlex 7090
"Tuts spasi keyboard tidak bisa dipakai meski sudah dibersihkan. Wi-Fi susah terhubung, kadang hang saat area bawah laptop ketekan., ""Cek tombol spasi, reinstall driver","cek Wi-Fi & kemungkinan short/tekanan bawah.""",NB,Acer,Swift 3 SF314
"Kapasitas storage penuh + banyak temp file, dilakukan cleanup","Penyimpanan selalu merah, laptop terasa berat",NB,Dell,Vostro 3400
"Baut engsel hilang/longgar, dikencangkan dan diberi threadlocker",Layar terasa longgar setelah servis sebelumnya,NB,Acer,Aspire 5
PSU rusak total,indikator motherboard tidak menyala dan PC mati total,PC,PC RAKITAN,PC Rakitan
"Acer Swift SFC 14-41G Cleaning dan ganti pasta, ""Ganti pasta laptop bawa sendiri, clean up laptop, pengecekan hardware/software","konsultasi""",NB,Acer Swift SFX14-41G,15105110934
"Printer epson L3110 SN. X6NX007844 hasil print bergaris pada warna ciyan, setelah di lakukan cleaning hasil print kembali normal.",Full berwarna bergaris garis,PT,EPSON,L3110
"Dilakukan power influs manual  Dilakukan print head cleaning, ""Saat printing hasilnya yang ke print tidak full","hilang2 tintanya yang ke print""",PT,EPSON,L3210
"Konflik antivirus, uninstall total dan ganti yang kompatibel",Aplikasi kantor tidak bisa dibuka setelah pasang antivirus,NB,MSI,Modern 15
Sudah di Repasta,Cleaning dan repasta untuk pemakaian gaming,NB,Dell,Alienware
"Spacebar tetap tidak respon walau sudah dibersihin. Konek ke Wi-Fi kadang lama/gagal, laptop bisa hang kalau bagian bawah kepencet.","Cek hardware keyboard, modul Wi-Fi, dan kondisi bawah (pressure).",NB,MSI,Modern 14 B11
"Update Windows gagal (error patch), dilakukan repair update components",Update selalu gagal dan stuck,NB,Dell,Inspiron 14
engsel kanan patah cover terbuka,bagian engsel kanan patah sehingga cover belakang terbuka,NB,DELL,Inspiron 15
"Slot PCIe kotor/aus, setelah dibersihkan VGA terbaca stabil",Tampilan muncul-hilang setelah pindah tempat,PC,MSI,Trident 3
"NVMe tidak terbaca karena BIOS lama, setelah update BIOS terbaca",SSD NVMe tidak muncul di BIOS,PC,Acer,Aspire TC
"Konektor LCD oksidasi (bekas cairan), dibersihkan namun panel tetap noise","Setelah ketumpahan minum, layar bersemut",NB,MSI,Modern 15
"Selesai install anti virus, Type HP 14s SN: 5CG011C7TPI",install antivirus,NB,HP,HP 14s
"PSU 12V drop saat load, rekomendasi ganti PSU",PC hidup sebentar lalu mati sendiri saat dipakai,PC,Dell,OptiPlex 7050
Dilakukan pengecekan unit terdapat blinking lampu orange menyala. Dilakukan reset software + penambahan tinta Dan power influs manual Printer sudah normal kembali,Tidak mau printer,PT,Epson,L3210
"HDD sektor lemah, dilakukan bad sector check, disarankan ganti","Buka folder lama banget, kadang error CRC",PC,Lenovo,ThinkCentre M910
baterai sudah tidak optimal (sekitar 26%),waktu pakai singkat dan sering minta charger,NB,HUAWEI,MateBook D14
Dummy data,Dummy Data,NB,LENOVO,IDEAPAD
Sudah dilakukan clean up dan install ulang windows 10 pro,Instal Ulang drive c,PC,Dell,Aio
"Printer Epson L121 Serial No. X9LU020170 hasil print bergaris pada warna hitam, setelah di cleaning atau maintenance hasil print sudah kembali normal",Hasil cetakan bergaris garis,PT,EPSON,L121
"Keyboard spasi tidak jalan walau sudah dibersihkan & update. Wi-Fi susah connect, sesekali hang kalau bagian bawah laptop ditekan.","Pengecekan keyboard space, jaringan Wi-Fi, dan inspeksi bagian bawah perangkat.",NB,Huawei,MateBook D14
baterai drop parah (health �31%),laptop cepat mati saat tidak pakai adaptor,NB,MSI,Modern 14
"Adaptor charger drop (tegangan tidak stabil), perlu ganti adaptor","Dicolok charger tidak ngisi, kadang nyambung kadang putus",NB,ASUS,VivoBook 14
baterai soak,waktu pakai singkat meski sudah full charge,NB,HUAWEI,MATEBOOK
"Bezel menekan panel karena engsel tidak rata, perlu align dan servis engsel",Layar seperti tertekan di sudut saat ditutup,NB,ASUS,TUF A15
Printer Epson L3110 Sn: X5DX124911 hasil print tidak keluar tinta.,tinta tidak keluar,PT,hp,l3110
"Asus SN:N1N0CV00N38301D mati total kena siram air kopi Dicek dibersihkan motherboard, keyboard, ram, batre dan covernya unit tetap tidak bisa nyala dan tidak ada indikator yang hidup",Laptop mati diakibatkan tumpahan kopi yang mengenai keyboard pada tanggal 22 juli 2025,NB,Asus,A416E
"Slot M.2 utama bermasalah, SSD normal di slot lain/enclosure",SSD tidak terbaca di BIOS padahal baru,NB,Lenovo,IdeaPad Slim 5
perlu ganti lcd,display tidak ada padahal laptop menyala,NB,HP,Elitebook
"Fleksibel keyboard longgar, setelah re-seat normal","Keyboard tiba-tiba mati, tapi touchpad normal",NB,Acer,Aspire 7
"Tidak bisa dilakukan charger saat unit menyala, ""Jika di cash laptop keadaan hidup tidak bisa tetapi kalau keadaan mati baru bisa ke isi batre","Saya pernah menggunakan cashan teman yang bermerk asus juga itu bisa di cash dalam keadaan laptopp menyala""",NB,ASUS,2019
Touch pad tetap tidak bisa setelah di cleaning,Touchpad laptop tidak berfungsi,NB,Lenovo,0000
"Array/partisi salah konfigurasi, dilakukan perbaikan konfigurasi disk",Drive D tiba-tiba hilang setelah restart,PC,Dell,Precision Tower 3620
baterai tidak mengisi,charger terdeteksi tapi baterai tetap tidak bertambah,NB,TOSHIBA,DYNABOOK
"Battery mengalami kerusakan, kesehatan batterynya hanya tinggal 20%",Battery cepat habis,NB,DELL,Inspiron 14 3000
"Fan curve/BIOS lama, update BIOS dan fan control normal",Kipas sering tidak nyala sampai panas banget,NB,Dell,Latitude 5420
engsel patah saat layar dibuka,layar sulit dibuka dan bagian engsel terasa patah,NB,ASUS,VivoBook 14
"Motherboard VRM tidak stabil, butuh pengecekan lanjutan/replace","PC kadang nyala kadang tidak, kipas cuma muter sebentar",PC,Lenovo,ThinkCentre M720
"Motherboard rusak, beberapa bagian ada yang terbakar",Dummy Data,NB,Asus,ROG
"Sekrup engsel aus (drat dol), perlu insert/replace",Sekrup engsel tidak bisa dikencangkan,NB,Acer,TravelMate P2
"Backlight panel lemah, tampilan redup, perlu ganti panel/backlight",Layar gelap tapi masih ada bayangan,NB,Lenovo,IdeaPad 3
Yang menyebabkan laptop sering bluescreen adalah karena overheat. sudah dilakukan ganti pasta dan hasilnya normal. untuk keyboardnya rusak perlu di ganti,mati total dan bluescreen keyboard tidak berfungsi,NB,Lenovo,Thinkpad
